,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Alta Floresta,-9.88,-56.09,102.2,15,20,9.17,BR,1597685894
1,Hilo,19.73,-155.09,75.2,83,90,10.29,US,1597685895
2,Lorengau,-2.02,147.27,81.36,80,14,9.46,PG,1597685622
3,Kangaatsiaq,68.31,-53.46,46.6,68,49,1.88,GL,1597685897
4,Rikitea,-23.12,-134.97,71.06,78,7,11.7,PF,1597685898
5,East London,-33.02,27.91,61.34,65,39,14.34,ZA,1597685899
6,Nanortalik,60.14,-45.24,49.17,61,82,8.23,GL,1597685785
7,Hobart,-42.88,147.33,50.0,93,90,4.03,AU,1597685707
8,Kangundo,-1.3,37.35,69.8,68,40,9.17,KE,1597685903
9,Karera,25.47,78.15,85.12,72,50,3.22,IN,1597685904
10,Palestine,31.92,35.2,84.0,69,20,5.82,PS,1597685906
11,Jamestown,42.1,-79.24,75.99,53,20,8.05,US,1597685907
12,Emba,48.83,58.14,61.93,55,62,13.58,KZ,1597685908
13,Ribeira Grande,38.52,-28.7,75.2,88,75,27.51,PT,1597685909
14,Ushuaia,-54.8,-68.3,33.8,86,75,4.68,AR,1597685888
15,Grand Gaube,-20.01,57.66,70.0,74,2,1.99,MU,1597685911
16,Guánica,17.97,-66.91,91.99,57,10,8.01,PR,1597685912
17,Kapaa,22.08,-159.32,78.8,78,40,14.99,US,1597685914
18,Avera,33.19,-82.53,88.0,62,1,3.36,US,1597685915
19,Okhotsk,59.38,143.3,54.43,90,100,3.85,RU,1597685916
20,Carberry,49.87,-99.36,73.4,49,5,3.56,CA,1597685917
21,Faya,18.39,42.45,75.2,56,40,4.7,SA,1597685340
22,Vaini,-21.2,-175.2,71.6,73,90,10.29,TO,1597685920
23,Atuona,-9.8,-139.03,78.3,76,0,17.52,PF,1597685921
24,Zyryanovsk,49.74,84.27,57.15,60,5,2.77,KZ,1597685922
25,Aklavik,68.22,-135.01,51.8,87,90,3.36,CA,1597685923
26,Piney Green,34.72,-77.32,84.0,58,40,5.82,US,1597685924
27,Ribeira Brava,32.65,-17.07,77.0,81,1,5.99,PT,1597685925
28,Mola di Bari,41.06,17.09,86.0,45,20,6.93,IT,1597685927
29,Santa Cruz de la Sierra,-17.8,-63.17,60.8,93,90,11.41,BO,1597685673
30,State College,40.79,-77.86,84.2,35,40,10.29,US,1597685762
31,Berlevåg,70.86,29.09,48.2,76,75,25.28,NO,1597685930
32,Pevek,69.7,170.31,37.63,88,98,10.29,RU,1597685852
33,Port-Cartier,50.03,-66.87,68.0,72,75,13.87,CA,1597685932
34,Mataura,-46.19,168.86,37.99,97,89,3.0,NZ,1597685934
35,Albany,42.6,-73.97,78.01,65,44,4.05,US,1597685719
36,The Pas,53.83,-101.25,59.0,87,90,10.13,CA,1597685721
37,Vila Velha,-20.33,-40.29,84.2,62,40,12.75,BR,1597685937
38,George Town,5.41,100.34,82.0,83,20,3.18,MY,1597685663
39,Butaritari,3.07,172.79,81.05,62,70,6.26,KI,1597685699
40,Tuktoyaktuk,69.45,-133.04,50.0,87,90,8.05,CA,1597685941
41,Chokurdakh,70.63,147.92,38.52,93,100,12.44,RU,1597685942
42,Khatanga,71.97,102.5,57.47,89,88,5.01,RU,1597685943
